Company Name,Sector classification,Environment Score,Social Score,Governance Score,ESG Rating,Category,Rating Period,High Risk Sectors,States,SDG score,Combined ESG-SDG Score
UCO Bank,Banks,52,62,63,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.25
Udaipur Cement Works Limited,Cement,33,57,65,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
Uflex Limited,Chemicals - Bulk & Polymers,20,34,70,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,31.0
Ujjivan Small Finance Bank Limited,Banks,60,56,76,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.0
UltraTech Cement Limited,Cement,46,54,69,57,Adequate,Mar-23,Environment,Unknown,,0.0,42.25
Unichem Laboratories Limited,Pharmaceuticals,27,48,66,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Union Bank of India,Banks,51,64,65,60,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,45.0
Uniparts India Limited,Industrials,27,31,61,42,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.75
United Breweries Limited,FMCG,48,40,69,55,Adequate,Mar-23,Environment/Social,Unknown,,0.0,39.25
United Spirits Limited,FMCG,62,43,75,62,Strong,Mar-23,Social,Unknown,,0.0,45.0
Uno Minda Limited,Auto Ancillary,34,33,64,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.75
UPL Limited,Chemicals - Speciality Chemicals,49,58,72,60,Adequate,Mar-23,Environment,Unknown,,0.0,44.75
Usha Martin Limited,Metals - Linked Products,26,58,67,50,Below Average,Mar-23,Environment,Unknown,,0.0,37.75
UTI Asset Management Company Limited,Financial Services (Capital Market),59,61,74,65,Strong,Mar-23,All sectors adequate,Unknown,,0.0,48.5
V Mart Retail Limited,Retailing (Diversified Retail),50,58,76,CRISIL ESG 62,Strong,Mar-23,All sectors adequate,Unknown,,0.0,46.0
V.S.T. Tillers Tractors Limited,Auto OEM,39,52,68,54,Adequate,Mar-23,Environment,Unknown,,0.0,39.75
VA Tech Wabag Limited,Water and Waste Management,30,38,61,44,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.25
Vaibhav Global Limited,Consumer Retail,39,48,67,52,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.5
Vakrangee Limited,IT,51,57,68,59,Adequate,Mar-23,All sectors adequate,Unknown,,0.0,44.0
Valiant Organics Limited,Chemicals - Speciality Chemicals,28,43,65,47,Below Average,Mar-23,Environment/Social,Unknown,,0.0,34.0
Valor Estate Limited,Real Estate,28,33,62,43,Below Average,Mar-22,Environment/Social,Unknown,,0.0,30.75
Vardhman Special Steels Limited,Metals - Ferrous,36,62,66,55,Adequate,Mar-23,Environment,Unknown,,0.0,41.0
Vardhman Textiles Limited,Textiles,34,55,62,CRISIL ESG 51,Adequate,Mar-23,Environment,Unknown,,0.0,37.75
Varroc Engineering Limited,Auto Ancillary,26,34,58,41,Below Average,Mar-22,Environment/Social,Unknown,,0.0,29.5
Varun Beverages Limited,FMCG,37,48,69,53,Adequate,Dec-22,Environment/Social,Unknown,,0.0,38.5
Vedant Fashions Limited,Consumer Retail,27,42,67,47,Adequate,Mar-22,Environment/Social,Unknown,,0.0,34.0
Vedanta Limited,Metals - Non-Ferrous,41,47,61,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,37.25
Venkys India Limited,FMCG,38,49,58,49,Below Average,Mar-23,Environment/Social,Unknown,,0.0,36.25
Vesuvius India Limited,Industrials,30,36,65,46,Adequate,Dec-21,Environment/Social,Unknown,,0.0,32.75
V-Guard Industries Limited,Durables & Electricals,28,39,74,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Vijaya Diagnostic Centre Limited,Healthcare,38,58,64,53,Adequate,Mar-23,Environment,Unknown,,0.0,40.0
Vimta Labs Limited,Pharmaceuticals,24,41,65,45,Below Average,Mar-22,Environment/Social,Unknown,,0.0,32.5
Vinati Organics Limited,Chemicals - Speciality Chemicals,46,50,70,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
Vindhya Telelinks Limited,Industrials,37,61,68,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.5
VIP Industries Limited,Consumer Retail,29,45,67,48,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.25
Vodafone Idea Limited,Telecom,44,63,51,52,Adequate,Mar-23,Environment,Unknown,,0.0,39.5
Voltamp Transformers Limited,Industrials,40,51,61,CRISIL ESG 51,Adequate,Mar-23,Environment,Unknown,,0.0,38.0
Voltas Limited,Durables & Electricals,53,54,71,61,Strong,Mar-22,All sectors adequate,Unknown,,0.0,44.5
VRL Logistics Limited,Logistics,37,43,67,51,Adequate,Mar-23,Environment/Social,Unknown,,0.0,36.75
VST Industries Limited,FMCG,52,31,68,53,Adequate,Mar-23,Social,Unknown,,0.0,37.75
Walwhan Renewable Energy Limited,"Power Renewable (Solar, Wind)",38,28,51,41,Below Average,Mar-23,Environment/Social,Unknown,,0.0,29.25
Welspun Corp Limited,Metals - Linked Products,39,58,70,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Welspun Enterprises Limited,Construction EPC,34,57,72,55,Adequate,Mar-23,Environment,Unknown,,0.0,40.75
Welspun Living Limited,Textiles,42,59,72,CRISIL ESG 58,Adequate,Mar-23,Environment,Unknown,,0.0,43.25
Wendt India Limited,Industrials,29,39,74,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.5
West Coast Paper Mills Limited,Paper,42,52,61,52,Adequate,Mar-23,Environment,Unknown,,0.0,38.75
Westlife Foodworld Limited,Restaurants,36,59,72,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.75
Wheels India Limited,Auto Ancillary,28,33,69,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,32.5
Whirlpool of India Limited,Durables & Electricals,32,42,69,49,Adequate,Mar-22,Environment/Social,Unknown,,0.0,35.75
Wipro Limited,IT,77,69,75,74,Leadership,Mar-23,All sectors adequate,Karnataka,,72.0,73.25
Wockhardt Limited,Pharmaceuticals,26,52,61,46,Adequate,Mar-22,Environment,Unknown,,0.0,34.75
Wonderla Holidays Limited,Hotels,38,55,72,56,Adequate,Mar-23,Environment,Unknown,,0.0,41.25
Wpil Limited,Industrials,27,35,70,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.0
YES Bank Limited,Banks,63,58,68,64,Strong,Mar-23,All sectors adequate,Unknown,,0.0,47.25
Zee Entertainment Enterprises Limited,Media,37,42,55,46,Adequate,Mar-22,Environment/Social,Unknown,,0.0,33.5
Zensar Technologies Limited,IT,71,68,69,69,Strong,Mar-23,All sectors adequate,Maharashtra,,70.0,69.5
ZF Commercial Vehicle Control Systems India Limited,Auto Ancillary,45,43,66,53,Adequate,Mar-22,Environment/Social,Unknown,,0.0,38.5
Zomato Limited,E-Retail/ E-Commerce,55,43,75,60,Adequate,Mar-23,Social,Unknown,,0.0,43.25
Zydus Lifesciences Limited,Pharmaceuticals,51,56,71,60,Adequate,Mar-22,All sectors adequate,Unknown,,0.0,44.5
Zydus Wellness Limited,FMCG,52,48,68,58,Adequate,Mar-23,Social,Unknown,,0.0,42.0
